"COMID","totco2g_day","pred_total","totco2g_day_fill","pred_logw_m","stream_length_m","pred_stream_area_m2_fill"
"23752124",1088034.40643014,1121309.5,1088034.40643014,1.06899541061898,392,4594.92054947849
"23752126",1308558.80986849,1359286.875,1308558.80986849,1.06510833466504,513,5959.63598770809
"23752128",1763166.12287671,1719573,1763166.12287671,1.06200715089352,953,10992.5530598243
"23752130",980207.062142466,1209795.25,980207.062142466,1.0589508863168,356,4077.55435133307
"23752132",2060013.83819178,1764603.625,2060013.83819178,1.05633446097724,307,3495.21665836082
"23752134",952590.832208219,1020981.25,952590.832208219,1.05391800138333,195,2207.75927395733
"23752136",1376936.69227397,1306336.25,1376936.69227397,1.01502852720285,1574,16294.3615121046
"23752138",327740.396572603,372838.59375,327740.396572603,0.727177841450728,996,5314.19778144365
"23752140",332709.505232877,279313.09375,332709.505232877,0.70976757112097,1767,9056.87123883165
"23752142",246454.49030137,266112.75,246454.49030137,0.662441498698337,2529,11624.1517783945
"23752144",132566.489013699,154899.25,132566.489013699,0.541299169262075,2225,7737.60063948238
"23752146",121407.546164384,126001.234375,121407.546164384,0.415851922115391,3943,10274.778214857
"23752148",1095850.92723288,1107742.875,1095850.92723288,0.930655450732824,2167,18471.7856952033
"23752150",665868.535865753,639133.5625,665868.535865753,0.850658760724265,1218,8635.88762145456
"23752152",284203.808224931,358834.90625,284203.808224931,0.838225994602098,166,1143.78551707145
"23752154",637921.929476712,606347,637921.929476712,0.837271473527393,530,3643.7839655507
"23752156",587079.518991781,571194.6875,587079.518991781,0.830679627216046,528,3601.62384100959
"23752158",677569.553753425,592255.875,677569.553753425,0.821995755072177,4810,31926.7924247568
"23752160",NA,262838.71875,262838.71875,0.709882767504578,720,3691.55148383458
"23752162",441267.986465753,456492.46875,441267.986465753,0.681664640487247,1268,6091.92538237696
"23752164",434511.055890411,440826.21875,434511.055890411,0.592142685603324,3618,14145.3643866482
"23752166",NA,313896.5625,313896.5625,0.454313817683328,284,808.401059465821
"23752168",NA,229466.421875,229466.421875,0.448787789270149,101,283.811350105822
"23752170",NA,233299.375,233299.375,0.448426642293492,456,1280.31127928029
"23752172",263303.502164384,365218.9375,263303.502164384,0.628508807489615,1020,4336.18853901099
"23752174",356406.89630137,385043.03125,356406.89630137,0.609579394839273,4735,19270.2290098437
"23752176",59948.1575342466,73019.359375,59948.1575342466,0.154040445607366,3179,4532.49698218882
"23752178",558220.89690411,555133.4375,558220.89690411,0.833245242850543,2368,16130.310149174
"23752180",533578.460926027,564181.75,533578.460926027,0.81994132049399,685,4525.13866544412
"23752182",624821.330465753,597092,624821.330465753,0.814577322309656,891,5813.93216655483
"23752184",497799.718405479,516914.25,497799.718405479,0.803609224104533,1215,7730.4266334549
"23752186",531517.507882192,533084,531517.507882192,0.784113492637723,971,5906.76625704176
"23752188",433053.863958904,437676.875,433053.863958904,0.745188532640573,156,867.552688943054
"23752190",149599.265405753,199392.171875,149599.265405753,0.720074803556941,391,2052.34283143957
"23752192",325613.235887671,289865.59375,325613.235887671,0.710974247698117,270,1387.81358575828
"23752194",135234.05570137,153254.484375,135234.05570137,0.514237729252716,1143,3735.30409610208
"23752196",220104.616767123,237755.421875,220104.616767123,0.486463265057093,6616,20282.7145596228
"23752198",163718.616493151,234769.953125,163718.616493151,0.640752107543007,1888,8255.95549059814
"23752200",81474.4453389041,113253.1328125,81474.4453389041,0.584996611356473,587,2257.51030101695
"23752202",74136.2214953425,142108.234375,74136.2214953425,0.540696462377244,767,2663.70294720721
"23752204",76173.8334,137516.328125,76173.8334,0.465148626666101,4738,13829.7464905502
"23752206",9738.98128520548,16079.5400390625,9738.98128520548,-0.0117328254616349,2487,2422.82129680049
"23752208",261518.878356164,255029.84375,261518.878356164,0.648790349989393,2288,10192.3646659309
"23752210",195899.195506849,267413.09375,195899.195506849,0.605797705788712,1584,6390.29790419406
"23752212",204348.376273973,176763.84375,204348.376273973,0.563535969109528,3011,11021.2369705697
"23752214",NA,457231.8125,457231.8125,0.619197165471925,320,1331.54718824512
"23752216",186181.507479452,244209.953125,186181.507479452,0.617995323761529,3237,13432.5832278436
"23752218",55684.8917260274,62726.0703125,55684.8917260274,0.32983479478653,4746,10141.7744744983
"23752220",53635.5179416438,107534.6875,53635.5179416438,1.02208750481964,3825,40245.8268833241
"23752222",NA,226903.3125,226903.3125,1.0060957147178,112,1135.85042470752
