"COMID","FromNode","ToNode","Hydrosq","AreSqKM","cum_totco2g_day","TOT_urban16","TOT_forest16","TOT_wetland16","TOT_agrc16","TOT_shrub16","CAT_STREAM_LENGTH","CAT_STREAM_SLOPE","TOT_STREAM_LENGTH","TOT_STREAM_SLOPE","CAT_BASIN_AREA","TOT_BASIN_AREA","totco2g_day_fill","tdrainage_m2","cum_totco2g_day_tdm2"
"23099606",50019227,50140810,50005180,0.225,1995.65061986249,5.08,31.75,1.44,14.61,23.16,0.212,0,10271.95,0.034468,0.23,13886.27,0.246247369224504,0.01388627,17.7331543477481
"23099608",50019228,50019227,50005193,19.3959,1995.40437249327,5.08,31.75,1.44,14.61,23.16,4.265,0,10271.73,0.034468,19.4,13886.04,3.3620116034438,0.01388604,242.114497973778
"23099610",50019229,50019659,50030518,0.2637,0.00553057719432386,5.68,0,0.11,42.01,23.11,0.669,0.02,105.48,0.018771,0.26,114.31,0.000735890770193976,0.00011431,6.43767623299778
"23099612",50019230,50019229,50031387,0.036,0.00479468642412988,5.6,0,0.11,41.99,23.16,0.051,0.02,104.81,0.018701,0.04,114.05,0.000673604251595695,0.00011405,5.90621877769132
"23099614",50019231,50019230,50032311,2.1843,0.00412108217253419,5.6,0,0.11,41.98,23.16,1.179,0.01,104.76,0.018519,2.18,114.01,0.00013602545679115,0.00011401,1.19310110333436
"23099616",50019232,50019231,50033315,20.6658,0.00398505671574304,5.52,0,0.1,41.29,23.37,0.996,0.01,103.58,0.018633,20.67,111.83,5.31481162398814e-05,0.00011183,0.475258126083175
"23099618",50019233,50019232,50034387,1.2015,0.00393190859950316,3.13,0,0.04,32.98,27.68,1.593,0.01,102.59,0.018715,1.2,91.16,7.00879744863103e-05,9.116e-05,0.768845705203053
"23099620",50019234,50019233,50035549,0.2394,0.00386182062501684,3.02,0,0.04,32.54,27.81,0.518,0.01,100.99,0.018913,0.24,89.96,1.73758449769767e-05,8.996e-05,0.193150788983734
"23099622",50019235,50019234,50036817,4.1841,0.00383785725570819,2.96,0,0.03,31.6,28.24,3.532,0.02,98.86,0.018916,4.18,88.51,0.000920164104834294,8.851e-05,10.3961598105784
"23099624",50019236,50019235,50038219,0.8901,0.00268034295533234,2.27,0,0.03,25.01,31.77,1.392,0.01,89.77,0.018269,0.89,74.94,0.000127826403126988,7.494e-05,1.70571661498516
"23099626",50019237,50019236,50039799,1.1358,0.00253158606469009,2.03,0,0.02,22.75,34.03,1.368,0.01,87.5,0.017943,1.14,68.35,9.97574478013352e-05,6.835e-05,1.45950911194346
"23099628",50019238,50019237,50041566,5.3784,0.00243182861688875,2.01,0,0.01,21.52,34.61,1.949,0.01,86.13,0.018112,5.38,67.21,0.000146256633800703,6.721e-05,2.1761141764723
"23099630",50019239,50019238,50043546,1.3617,0.00228557198308805,1.86,0,0,18.1,36.34,1.123,0.02,84.18,0.018413,1.36,61.84,0.000130301764942162,6.184e-05,2.10707899324325
"23099632",50019240,50019239,50045810,1.5327,0.00215527021814589,1.79,0,0,17.1,36.92,1.303,0.02,83.06,0.01842,1.53,60.47,0.000121797045558521,6.047e-05,2.01417307025833
"23099634",50019241,50019240,50048383,0.0378,0.00143107517410044,1.47,0,0,25.33,20.63,0.173,0.03,31.08,0.021236,0.04,22.62,1.77828341442469e-05,2.262e-05,0.786155355625417
"23099636",50019242,50019241,50051338,0.4446,0.00141214648199246,1.41,0,0,28.44,21.8,0.723,0.03,28.46,0.021434,0.44,20.15,2.90885114105794e-05,2.015e-05,1.4435985811702
"23099638",50019243,50019242,50054808,0.3474,0.00138270411107385,1.58,0,0,31.67,23.61,0.885,0.03,26.18,0.020626,0.35,18.09,5.02603430838344e-05,1.809e-05,2.77834953476144
"23099640",50019244,50019243,50058924,0.2448,0.00133001966345229,1.76,0,0,35.25,25.74,0.933,0.03,22.92,0.020506,0.24,16.25,4.98939905889201e-05,1.625e-05,3.07039942085662
"23099642",50019245,50019244,50063893,1.0404,0.00127707061165817,2.09,0,0,41.92,26.52,1.198,0.03,18.99,0.020537,1.04,13.67,3.9308361212247e-05,1.367e-05,2.87552020572399
"23099644",50019246,50019245,50070169,0.1899,0.00123776225044592,2.27,0,0,45.37,28.16,0.247,0.03,17.79,0.020236,0.19,12.63,7.68149351264172e-06,1.263e-05,0.608194260700057
"23099646",50019247,50019246,50078305,0.0972,0.00123008075693328,2.3,0,0,46.06,28.55,0.151,0.04,17.54,0.018814,0.1,12.44,9.72132648544823e-06,1.244e-05,0.781457112978154
"23099648",50019248,50019247,50089454,0.2322,0.00122035943044783,2.32,0,0,46.43,28.61,0.251,0.03,17.39,0.016676,0.23,12.34,1.02196965935349e-05,1.234e-05,0.828176385213523
"23099650",50019249,50019248,50106293,3.429,0.0012101397338543,2.36,0,0,47.32,28.43,5.025,0.03,17.14,0.015169,3.43,12.11,0.000251901831075982,1.211e-05,20.8011421202298
"23099652",50019250,50019249,50137442,1.7739,0.000868221554521141,2.05,0,0,65.16,25.3,2.744,0.05,6.33,0.017378,1.77,4.57,7.58940744755233e-05,4.57e-06,16.6070184847972
"23099654",50155214,50019250,50219490,2.1051,0.00052876634584685,2.82,0,0,94.96,1.28,1.904,0.03,1.9,0.015789,2.11,2.11,0.00052876634584685,2.11e-06,250.60016390846
"23099656",50019251,50019228,50005207,43.722,1992.00310496681,5.08,32.26,1.45,14.16,23.04,8.076,0,10032.29,0.034858,43.72,13663.15,4.89826292702946,0.01366315,358.501731081739
"23099658",50019252,50019251,50005221,1.1916,1987.10484203978,5.06,32.37,1.46,14.07,23.05,0.214,0.01,10024.21,0.034887,1.19,13619.43,1.16310671081627,0.01361943,85.4005425202284
"23099660",50019253,50019252,50005237,0.0909,1985.94173532896,5.04,32.37,1.46,14.07,23.05,0.138,0.02,10024,0.034886,0.09,13618.24,1.29120168025068,0.01361824,94.8141375281004
"23099662",50019254,50019253,50005253,0.0378,1984.65053364871,5.04,32.37,1.46,14.07,23.05,0.125,0,10023.86,0.034885,0.04,13618.15,0.496445530731992,0.01361815,36.4546969105196
"23099664",50019255,50019254,50005269,43.1181,1984.15277489776,5.03,32.4,1.46,14.01,23.07,6.918,0,10013.67,0.034916,43.12,13603.88,5.50289395910003,0.01360388,404.509151734654
"23099666",50019256,50019255,50005284,51.2775,1978.64565460752,4.97,32.52,1.46,13.91,23.1,3.179,0,9999.81,0.034963,51.28,13553.93,3.2518573458695,0.01355393,239.919886399701
"23099668",50019257,50019256,50005300,2.1735,1975.39379726165,4.96,32.65,1.46,13.78,23.06,0.215,0,9996.63,0.034974,2.17,13502.65,0.271864514357261,0.01350265,20.1341599135918
"23099670",50019258,50019257,50005315,2.1051,1975.12193274729,4.96,32.65,1.46,13.78,23.05,0.18,0,9996.42,0.034975,2.11,13500.48,0.239548869703704,0.01350048,17.7437298306212
"23099672",50019259,50019258,50005328,9.5535,1974.88238387759,4.96,32.66,1.46,13.77,23.06,2.591,0,9996.24,0.034975,9.55,13498.37,1.89539894957668,0.01349837,140.416876228513
"23099674",50019260,50019259,50005341,2.2311,1972.98698492801,4.95,32.68,1.46,13.74,23.06,0.4,0,9993.65,0.034984,2.23,13488.82,0.535015906028955,0.01348882,39.6636552366297
"23099676",50019261,50019260,50005354,1.2285,1972.45196902198,4.95,32.68,1.46,13.74,23.06,0.878,0,9993.25,0.034986,1.23,13486.59,0.560148220519995,0.01348659,41.5337176054136
"23099678",50019262,50019261,50005367,53.6166,1971.89090730604,4.91,32.75,1.46,13.63,23.1,6.925,0,9985.24,0.035008,53.62,13461.46,0.0716178064565351,0.01346146,5.3202109174291
"23099680",50019263,50019262,50005381,0.0864,1971.79736602719,4.89,32.94,1.46,13.35,23.19,0.355,0,9973.92,0.035045,0.09,13383.64,0.0463840751590034,0.01338364,3.46572943974908
"23099682",50019264,50019263,50005395,2.016,1971.75098195203,4.89,32.94,1.45,13.35,23.19,0.948,0,9971.27,0.035055,2.02,13380.55,0.584287664949922,0.01338055,43.6669393223688
"23099684",50019265,50019264,50005410,2.4993,1970.8972697564,4.81,34,1.49,12.36,23.83,2.258,0,9540.25,0.0355,2.5,12961.69,1.01554516014343,0.01296169,78.349749156432
"23099686",50019266,50019265,50005424,33.6447,1969.84900910892,4.81,34.18,1.48,12.28,23.91,4.459,0,9502.18,0.035589,33.64,12895.77,1.65117361144552,0.01289577,128.039939565107
"23099688",50019267,50019266,50005437,3.6252,1968.19783549747,4.81,34.27,1.45,12.11,23.96,2.67,0,9497.72,0.035605,3.63,12862.13,0.0120283519216126,0.01286213,0.935175738513965
