"COMID","totco2g_day","CAT_ELEV_MIN","CAT_ELEV_MAX","CAT_STREAM_SLOPE","TOT_BASIN_AREA","TOT_BASIN_SLOPE","TOT_ELEV_MEAN","TOT_ELEV_MIN","TOT_ELEV_MAX","TOT_STREAM_SLOPE","sinuosity","CAT_NID_STORAGE2010","CAT_EVI_JAS_2012","TOT_EVI_JAS_2012","CAT_CONTACT","TOT_CONTACT","CAT_PET","TOT_PET","CAT_AET","TOT_AET","CAT_OM","CAT_PERMAVE","TOT_OM","TOT_PERMAVE","CAT_SILTAVE","CAT_CLAYAVE","CAT_SANDAVE","TOT_SILTAVE","TOT_CLAYAVE","TOT_SANDAVE","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub","CAT_PPT7100_ANN","TOT_PPT7100_ANN","CAT_RUN7100","TOT_RUN7100","CAT_TWI","TOT_TWI","CAT_BFI","TOT_BFI"
"23751794",NA,171.7,174.51,0,2747.45,31.61,1108.24,171.7,2655.83,0.046772,1,0,0.4,0.38,209,55.96,653,552.31,452.57,589.17,1.27,4.67,2.82,2.29,46.42,16.5,37.08,46.37,23.3,30.33,0,12.5,33.33,45.83,0,0.86,80.23,0.14,0.81,12.59,1200.76,1575.4,1084,1083.93,12.39,9.84,42,68.43
"23751796",8052659.2109589,171.7,199.96,0.01,2747.42,31.61,1108.25,171.7,2655.83,0.046773,1.01,0,0.39,0.38,209,55.96,653,552.31,493.89,589.17,1.27,4.67,2.82,2.29,46.42,16.5,37.08,46.37,23.3,30.33,0,7.44,0,81.04,0,0.86,80.23,0.14,0.81,12.59,1198.56,1575.4,1084,1083.93,17.7,9.84,42,68.43
"23751798",9448591.20904109,176.51,181.2,0,2746.94,31.61,1108.41,176.51,2655.83,0.04678,1.03,0,0.38,0.38,209,55.93,653,552.29,468.13,589.18,1.27,4.67,2.82,2.29,46.42,16.5,37.08,46.37,23.3,30.33,0,21.32,2.03,60.66,0,0.86,80.24,0.14,0.8,12.6,1196.26,1575.47,1084,1083.93,17.69,9.84,42,68.43
"23751800",22111037.539726,177.75,270.04,0,2746.59,31.61,1108.53,177.75,2655.83,0.046797,1.13,0,0.4,0.38,209,55.91,651.96,552.27,550.77,589.2,1.28,4.59,2.82,2.29,46.4,17.03,36.57,46.37,23.3,30.33,5.76,13.27,2.77,63.83,2.77,0.86,80.25,0.14,0.78,12.6,1196.31,1575.52,1084,1083.93,15.95,9.84,42,68.44
"23751802",NA,183.75,183.91,0,139.74,21.91,549.99,183.75,1401.13,0.022928,1,0,0.43,0.46,209,261.55,650,619.2,561.17,693.7,1.27,4.67,2.28,1.02,46.42,16.5,37.08,44.54,36.98,18.46,0,33.33,0,33.33,0,1.08,73.78,0,7.42,11.73,1195.96,1375.54,1084,1073.39,11.72,10.28,42,44.2
"23751804",2369248.52054795,183.84,600.71,0,139.74,21.91,549.99,183.84,1401.13,0.022936,1.16,0,0.4,0.46,1217.64,261.55,648.74,619.2,620.67,693.7,1.72,1.91,2.28,1.02,45.6,33.93,20.47,44.54,36.98,18.46,9.82,25.11,0,52.61,3.25,1.08,73.78,0,7.42,11.73,1200.03,1375.54,1084,1073.39,13.52,10.28,42.99,44.2
"23751806",702532.358630137,212.88,217.93,0.01,121.23,23.32,590.74,212.88,1401.13,0.025557,1.03,0,0.34,0.46,1538,129.4,646,615.17,636.54,696.61,1.86,0.66,2.34,0.97,45.64,41.58,12.78,44.44,36.94,18.62,31.07,5.83,0,63.11,0,0.21,79.01,0,2.25,12.65,1199.88,1400.42,1084,1071.95,12.47,9.99,42.02,44.47
"23751808",1737879.45205479,217.15,744.5,0.01,101.3,23.31,601.09,217.15,1401.13,0.02663,1.13,0,0.44,0.46,364.25,104.54,642.38,612.28,704.15,688.42,1.91,0.65,2.35,0.99,45.28,41.76,12.96,44.55,36.6,18.83,3.23,49.34,0.07,18.99,10.01,0.2,80.6,0,1.76,11.53,1221.19,1410.68,1084,1076.54,14.17,10.1,43.65,45.1
"23751810",801817.350410959,240.07,796.27,0.01,83.38,24.66,621.05,240.07,1401.13,0.029569,1.07,0,0.48,0.46,278.94,81.29,641.7,608.44,659.42,686.81,2.28,0.59,2.37,1.05,42.63,43.06,14.31,44.75,35.76,19.47,0,55.09,0,0.69,21.31,0,82.9,0,0.59,11.42,1259.55,1427.83,1084,1079.97,12.23,9.98,45.24,45.52
"23751812",126019.808219178,243.61,924.1,0.07,6.42,14.41,502.49,243.61,924.1,0.01072,1.09,0,0.44,0.44,167.03,167.03,624.54,624.54,741.94,741.94,2.36,0.63,2.36,0.63,42.37,42.35,15.24,42.37,42.35,15.24,0,73.91,0,3.74,8.48,0,73.91,0,3.74,8.48,1336.36,1336.36,1075.56,1075.56,10.3,10.3,43.97,43.97
