"COMID","FromNode","ToNode","TotDASqKM","cum_totco2g_day","cum_stream_area_m2","cum_stream_length_m","cum_totco2g_day_Tdrain_m2","cum_totco2g_day_Tsurface_m2"
"23752012",50074836,50074835,622.5246,123444209.417113,1459688.63296987,401520,0.198296114590673,84.5688639541944
"23752014",50074837,50074836,619.2891,118640027.502738,1441497.68791356,398732,0.19157454491406,82.303307523482
"23752016",50074838,50074837,617.7303,114550902.027968,1412448.34160737,395415,0.185438373393644,81.1009497859644
"23752018",50074839,50074838,599.7726,109232402.753069,1353501.57734869,384650,0.182123029216521,80.7035651683829
"23752020",50074840,50074839,588.195,106234453.143816,1319002.31639291,372985,0.180610942194027,80.5415212873443
"23752022",50074841,50074840,584.6913,105110836.557619,1309370.33227165,369767,0.179771507730009,80.2758654041446
"23752024",50074842,50074841,584.6553,104347852.44089,1304955.41706242,369558,0.178477561805888,79.9627719664071
"23752026",50074843,50074842,583.0848,99447097.9129998,1274368.86190599,368110,0.170553404775772,78.0363526493132
"23752028",50074844,50074843,572.13,96489033.9613176,1246270.66254623,361665,0.168648793038851,77.4222140190501
"23752030",50074845,50074844,571.9887,94798008.2113176,1244370.22929652,361574,0.165734057703094,76.1815141341896
"23752032",50074846,50074845,567.5175,91654691.0560546,1224149.95034362,357724,0.16150108332528,74.8721110762019
"23752034",50074847,50074846,562.1157,90170769.7280491,1206503.49068518,354750,0.160413184915577,74.7372638572646
"23752036",50074848,50074847,556.4484,82454813.2633724,1167797.80385781,350049,0.148180519996773,70.6070973853381
"23752038",50074849,50074848,19.3851,481555.382123733,27466.3778246306,14845,0.024841521690563,17.5325405191177
"23752040",50074850,50074849,9.2007,164005.330464555,12056.194545093,7101,0.0178253100812498,13.6034077628008
"23752042",50191448,50074850,3.4929,40123.7553041096,3692.80034336374,2589,0.0114872327590568,10.8654006643536
"23752044",50074851,50074848,537.012,81597312.0056925,1136256.46934271,335006,0.151946906224987,71.812406976124
"23752044",50074851,50074848,537.012,81597312.0056925,1136256.46934271,335006,0.151946906224987,71.812406976124
"23752044",50074851,50074848,537.012,81597312.0056925,1136256.46934271,335006,0.151946906224987,71.812406976124
"23752044",50074851,50074848,537.012,81597312.0056925,1136256.46934271,335006,0.151946906224987,71.812406976124
"23752044",50074851,50074848,537.012,81597312.0056925,1136256.46934271,335006,0.151946906224987,71.812406976124
"23752044",50074851,50074848,537.012,81597312.0056925,1136256.46934271,335006,0.151946906224987,71.812406976124
"23752044",50074851,50074848,537.012,81597312.0056925,1136256.46934271,335006,0.151946906224987,71.812406976124
"23752044",50074851,50074848,537.012,81597312.0056925,1136256.46934271,335006,0.151946906224987,71.812406976124
"23752046",50074852,50074851,536.8401,76708633.0056925,1120238.77409312,334213,0.142889163841696,68.4752525797827
"23752048",50074853,50074852,528.8751,72865996.7497501,1098508.56972636,328049,0.137775434596467,66.3317508464236
"23752050",50074854,50074853,59.5404,2476411.00911863,99090.4744000196,35006,0.041592112399625,24.9914133937998
"23752052",50074855,50074854,54.2007,2008713.84826932,83815.4740791273,30509,0.0370606624687379,23.9659068965351
"23752054",50074856,50074855,49.2435,1557304.62189781,73687.8987223441,27082,0.0316245722155779,21.1337906074067
"23752056",50074857,50074856,43.8417,1387871.19633699,66677.0612893697,23373,0.0316564183491286,20.8148225116553
"23752058",50074858,50074857,38.8044,1019223.84101096,55493.9069058861,19171,0.026265677114218,18.3664098968468
"23752060",50074859,50074858,34.947,695362.405273973,45534.7056138986,15764,0.0198976279873515,15.2710420743717
"23752062",50074860,50074859,16.5897,283627.678594521,19606.8614258436,8024,0.017096612873923,14.4657358683973
"23752064",50191449,50074860,12.0987,116576.463772603,13232.61120322,4824,0.00963545370763826,8.80978530860451
"23752066",50074861,50074853,466.5186,66097044.5861109,963631.455454836,291257,0.141681477621923,68.5916220479882
"23752068",50074862,50074861,460.5183,61893644.612878,935575.459844959,285816,0.134399967629686,66.1556948310026
"23752070",50074863,50074862,429.8742,57357086.9019136,856720.44580723,257940,0.133427609523702,66.9495950313989
"23752072",50074864,50074863,425.7684,53711273.8132492,835946.451775642,253686,0.12615138608983,64.2520507134884
"23752074",50074865,50074864,425.1402,51430963.5632492,829761.441561406,253340,0.120974124684632,61.9828314346215
"23752076",50074866,50074865,424.7217,48740678.0632492,824009.921411662,253018,0.114759095339958,59.1505961235862
"23752078",50074867,50074866,105.1587,5576188.13177205,195304.235023642,66106,0.053026408007821,28.5512914305061
"23752080",50074868,50074867,91.0602,4793681.46746247,155673.684124145,58714,0.0526429929591904,30.7931394726912
"23752082",50074869,50074868,84.4605,4103127.7856789,138316.297121603,54321,0.0485804344714855,29.6648180371079
"23752084",50074870,50074869,73.7685,3903171.84904384,121512.821193294,48360,0.0529110914420632,32.1214815911068
"23752086",50074871,50074870,69.7473,3309068.64027397,110773.179434969,44850,0.0474436808345838,29.872471451599
"23752088",50074872,50074871,66.8817,2777969.17219178,103715.105817162,41758,0.0415355646191975,26.784614934386
"23752090",50074873,50074872,64.3806,2250496.81026849,98446.8483907259,38947,0.0349561329075605,22.8600188533866
"23752092",50074874,50074873,59.9076,2057173.77999452,92102.5742303762,35527,0.0343391118988996,22.3356816808281
"23752094",50074875,50074874,40.8204,1377159.68113973,62961.3108814761,25441,0.0337370452308094,21.8731100394688
"23752096",50074876,50074875,34.6149,1022276.94110959,51928.4910150121,21580,0.0295328584254061,19.6862439313721
"23752098",50074877,50074876,32.0427,751841.997756164,46673.4862080082,18951,0.0234637529844914,16.1085459613078
"23752100",50074878,50074877,14.7798,188046.380630137,21042.9154439256,9250,0.012723201980415,8.9363273416764
"23752102",50191450,50074878,10.1304,81805.5978493151,14999.8866031881,6004,0.00807525841519734,5.45374775246154
"23752104",50074879,50074877,15.0984,295007.599454795,18572.2995705558,8160,0.0195389974735598,15.88427961406
"23752106",50191451,50074879,11.9853,128446.120849315,13418.2939849368,4916,0.0107169716944353,9.57246286252984
"23752108",50074880,50074866,319.5477,40940402.4314772,627098.951827628,186822,0.128119846994603,65.2853944535544
"23752110",50074881,50074880,315.6354,37920215.3635465,594634.55140407,182571,0.120139297948033,63.7706222654033
"23752112",50074882,50074881,25.6419,481614.089835616,35780.1997624626,12161,0.0187823090268512,13.4603521789412
"23752114",50191452,50074882,14.6187,184507.895589041,17763.8651330619,5862,0.0126213613788532,10.3866976137776
"23752116",50074883,50074881,287.1054,34311015.2473547,533383.921709178,168742,0.11950668725616,64.327051961762
"23752118",50074884,50074883,277.9065,31362459.6695739,493463.773140353,163290,0.112852558934656,63.5557489255724
"23752120",50074885,50074884,261.6732,28512665.7582569,449818.514199887,150175,0.108962881022042,63.387043570169
"23752122",50074886,50074885,193.2399,21576993.3832028,315716.372597797,96300,0.111659100336953,68.3429662062238
"23752124",50074887,50074886,190.9872,19688084.1859151,305065.43963516,93387,0.103085883168689,64.5372488258941
"23752126",50074888,50074887,187.7652,18575686.9830576,297308.997933925,90381,0.0989304034137188,62.4793972336684
"23752128",50074889,50074888,185.2389,17247912.8171343,288785.746922398,87246,0.0931117212266662,59.7256374351783
"23752130",50074890,50074889,182.7792,15469562.3524768,275533.312596598,83746,0.0846352448882411,56.1440727681644
"23752132",50074891,50074890,180.7011,14465900.4742521,268302.431249534,80387,0.0800543022386255,53.9163972793006
"23752134",50074892,50074891,178.7994,12389946.0222001,262546.913648544,77815,0.0692952326584994,47.1913603935401
"23752136",50074893,50074892,150.8328,10643433.716654,222430.625618648,62528,0.0705644509460409,47.8505767227482
"23752138",50074894,50074893,42.8202,1337116.81608493,59329.427604179,20909,0.0312263094540644,22.5371602268879
"23752140",50074895,50074894,39.6756,981383.742180822,51768.4930848088,17989,0.0247351959940321,18.9571626234723
"23752142",50074896,50074895,32.256,615593.368980822,39663.0208587109,14208,0.0190846158538201,15.5205870771597
"23752144",50074897,50074896,18.9882,286760.811024658,20980.8779481796,8207,0.0151020534344834,13.6677221865036
