"COMID","totco2g_m2_day","pred_total","totco2g_m2_day_fill","site_ID"
"24424705",3.67037704741481,2.43421053886414,3.67037704741481,"S65"
"24423741",75.8038595622212,63.8395156860352,75.8038595622212,"S66"
"23099678",0.0939282736330337,5.15437030792236,0.0939282736330337,"T02"
"23099844",1.26840497386996,13.3880186080933,1.26840497386996,"T03"
"24425579",63.9700911390966,55.2505531311035,63.9700911390966,"T05"
"24422823",148.439328873439,160.74446105957,148.439328873439,"T05P"
"24422913",45.7097636343784,75.3542709350586,45.7097636343784,"T06"
"947030105",NA,4.48833751678467,4.48833751678467,"T07"
"24425579",63.9700911390966,55.2505531311035,63.9700911390966,"T41"
"24425579",63.9700911390966,55.2505531311035,63.9700911390966,"T42"
"24125883",53.9842024647855,72.3958053588867,53.9842024647855,"S13R"
"24125999",173.005084934699,165.507583618164,173.005084934699,"S17R"
"24125873",272.905845164522,235.967102050781,272.905845164522,"S18R"
"24125729",31.9883213854795,49.4180603027344,31.9883213854795,"S19"
"24125633",104.732284809653,153.934188842773,104.732284809653,"S19E"
"24125811",138.241062727655,154.027862548828,138.241062727655,"S20R"
"24126061",207.131531099097,182.077514648438,207.131531099097,"S21R"
"24125859",186.718767651912,137.149185180664,186.718767651912,"S24R"
"24125699",12.425251760806,37.5192565917969,12.425251760806,"S25"
"947030170",NA,180.301177978516,180.301177978516,"S26R"
"24126823",9.41879066775015,16.9982261657715,9.41879066775015,"S27R"
"24131037",NA,97.2342300415039,97.2342300415039,"S28R"
"24131041",NA,250.103103637695,250.103103637695,"S28RE"
"24126251",77.3309246582933,76.7208709716797,77.3309246582933,"S29R"
"23100398",7.03828190456214,6.7320876121521,7.03828190456214,"S30R"
"24423233",47.7217784592623,61.3824615478516,47.7217784592623,"S49R"
"24125193",33.0725668520352,38.9109764099121,33.0725668520352,"S67"
"24126401",29.3998287657573,12.9619226455688,29.3998287657573,"S68"
"24126327",68.422866613304,69.1337051391602,68.422866613304,"S71"
"24126315",94.2534009339708,78.5256271362305,94.2534009339708,"S72"
"24125421",37.1056361400434,49.1766128540039,37.1056361400434,"S73"
"24131135",7.57562229343306,37.1856498718262,7.57562229343306,"S75"
"24423479",4.2993384544407,7.84749364852905,4.2993384544407,"S77"
"24125115",51.7106688954767,32.0394248962402,51.7106688954767,"S79"
"23099884",0.442687024108753,6.64579439163208,0.442687024108753,"S82"
"24126203",28.9876054665456,32.5048637390137,28.9876054665456,"S83"
"24126509",33.4049928836587,35.6716003417969,33.4049928836587,"W10"
"24126487",138.293325465742,89.913215637207,138.293325465742,"W20"
"24126441",NA,10.6091146469116,10.6091146469116,"U10"
"24126427",4.91604868895986,3.45586538314819,4.91604868895986,"U20"
"24126399",NA,116.500122070312,116.500122070312,"U21"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"C11"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"C10"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"C21"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"Ct20"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"Ct21"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"C20"
"24423879",7.17755968824131,7.7784538269043,7.17755968824131,"J21"
"24125193",33.0725668520352,38.9109764099121,33.0725668520352,"U23"
"24126441",NA,10.6091146469116,10.6091146469116,"U22"
