"","comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t"
"2270",23763869,0.45,3.38,11.11,84.5,0.56,8.57,0.37,2,88.92,0.12
"2271",23763871,3.87,0,2.91,92.96,0.25,11.11,0,1.12,87.69,0.09
"2272",23763873,20.96,0,0.23,78.82,0,20.96,0,0.23,78.82,0
"2273",23763875,11.55,10.62,3.71,67.42,6.27,5.33,35.34,0.7,10.88,41.91
"2274",23763877,9.83,31.23,1.18,41.11,10.36,5.05,35.94,0.38,4.28,47.78
"2275",23763879,3.2,29.09,0.27,0,63.32,4.74,39.2,0.8,1.12,39.7
"2276",23763881,11.66,38.14,0.66,9.57,23.2,6.78,42.92,1.27,1.98,24.42
"2277",23763883,3.08,47.69,13.08,0,0,2.35,44.39,1.75,0,21.8
"2278",23763885,2.29,44.15,0.91,0,23.42,2.29,44.15,0.91,0,23.42
"2279",23763887,6.68,41.79,4.07,9.73,30.87,6.44,37.04,5.98,3.6,36.37
"2280",23763889,1.8,38.73,3.6,0,52.48,6.38,32.31,7.62,0.19,39.89
"2281",23763891,3.54,12.38,27.66,1.33,45.8,6.52,32.1,7.74,0.2,39.48
"2282",23763893,8.82,5.88,20.59,17.65,32.35,6.62,32.76,7.07,0.16,39.27
"2283",23763895,6.47,38.04,2.01,0.29,31.52,6.47,38.04,2.01,0.29,31.52
"2284",23763897,11.25,66.25,0.45,0.63,16.58,11.25,66.25,0.45,0.63,16.58
"2285",23763899,0,0,100,0,0,61.09,0,0.12,38.65,0
"2286",23763901,87.3,0,0.12,12.36,0,61.1,0,0.08,38.66,0
"2287",23763903,100,0,0,0,0,7,0,0,92.99,0
"2288",23763905,6.59,0,0,93.39,0,6.59,0,0,93.39,0
"2289",23763907,9.95,4.97,14.66,70.41,0,5.32,26.36,0.67,11.54,52.29
"2290",23763909,4.24,32.28,0.51,13.35,45.39,4.28,29.23,0.35,9.34,53.18
"2291",23763911,4.38,22.13,0,0,71.3,4.38,22.13,0,0,71.3
"2292",23763913,0,0,0,100,0,0.36,43.68,0,22.17,17.36
"2293",23763915,0.19,50.4,0,12.09,19.37,0.19,50.4,0,12.09,19.37
"2294",23763917,9.23,59.78,3.6,16.58,6.49,5.75,51.61,1.84,1.66,30.86
"2295",23763919,7.29,59.89,4.47,13.64,11.26,5.42,49.98,1.82,0.55,34.47
"2296",23763921,3.49,44.46,3.87,0,35,5.85,42.54,1.71,0,43.33
"2297",23763923,6.65,38.4,4.37,0,45.85,7.09,37.23,1.9,0,48.18
"2298",23763925,9.92,45.45,0,0,44.63,7.11,33.92,0,0,49.86
"2299",23763927,14.8,19.58,0,0,65.63,11.21,29.48,0,0,48.92
"2300",23763929,5.21,46.02,0,0,20.98,5.21,46.02,0,0,20.98
"2301",23763931,9.55,67.48,5.96,16.08,0.93,7,88.09,0.43,0.52,3.85
"2302",23763933,12.79,62.24,0.79,0,21.17,7.01,89,0.27,0,3.59
"2303",23763935,6.69,91.64,1.27,0,0.4,6.69,89.61,0.29,0,3.34
"2304",23763937,8.54,86.66,3.13,0,1.67,6.72,90.86,0.13,0,2.2
"2305",23763939,5.54,85.11,6.38,0,2.55,6.29,91.86,0.16,0,1.46
"2306",23763941,6.01,87.68,0.3,0,0,6.31,92.03,0.01,0,1.44
"2307",23763943,6.32,92.19,0,0,1.49,6.32,92.19,0,0,1.49
"2308",23763945,12.56,50.48,0.48,23.49,7.59,10.91,52.45,1.54,24.07,7.21
"2309",23763947,7.83,40.46,3.64,35.39,9.98,7.83,40.46,3.64,35.39,9.98
"2310",23763949,6.74,23.71,6.75,43.01,18.05,6.73,42.44,1.48,5.92,35.01
"2311",23763951,2.12,53.4,5.02,30.43,7.24,6.98,40.37,1.04,4.12,38.43
"2312",23763953,13.04,27.39,3.32,4.21,34.38,6.24,38.44,0.45,0.3,46.05
"2313",23763955,5.29,53.54,0.86,0,38.15,5.56,40.97,0.24,0,46.22
"2314",23763957,6.8,39.6,0,0,53.06,6.18,37.76,0.15,0,47.35
"2315",23763959,5.8,51.28,0,0,39.3,7.46,29.68,0.2,0,51.98
"2316",23763961,2.21,29.28,6.3,5.36,47.85,5.6,51.14,2.24,1.85,30.47
"2317",23763963,1.46,45.32,17.25,8.19,8.77,7.71,48.99,1.97,1.57,28.44
"2318",23763965,7.48,44.22,1.29,1.69,34.08,7.48,44.22,1.29,1.69,34.08
"2319",23763967,21.35,38.05,1.11,30.81,4.2,10.43,58.75,0.52,4.73,20.2
"2320",23763969,6.98,69.89,1.44,0,15.84,8.82,62.26,0.45,0,22.92
"2321",23763971,7.34,46.78,0,0,36.99,10.15,63.04,0,0,21.67
"2322",23763973,11.75,72.24,0,0,13,11.75,72.24,0,0,13
"2323",23763977,0,0.5,52.39,45.73,0,0,0.5,52.39,45.73,0
"2324",23763979,5.76,90.88,0,0,2.16,5.76,90.88,0,0,2.16
"2325",23763981,7.84,50.51,0,0,28.04,7.84,50.51,0,0,28.04
"2326",23763983,6.01,17.01,0,0,55.41,6.01,17.01,0,0,55.41
"2327",23763985,0,92.32,0,0,6.58,0,92.32,0,0,6.58
"2328",23763987,2.9,16.2,0,0,39.37,3.68,36.66,0,0,29.18
"2329",23763989,14.54,57.81,0,0,27.65,14.54,57.81,0,0,27.65
"2330",23763991,5.35,56.83,0,0,37.82,7.94,57.1,0,0,34.95
