"","comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t"
"4404",23780681,0,98.94,0,0,1.06,0,51.82,0.02,0,1.27
"4405",23780683,0,96.08,0,0,3.92,0,48.89,0.02,0,1.28
"4406",23780685,0,92.68,0,0,3.74,0,43.71,0.01,0,1.54
"4407",23780687,0,94.18,0,0,0.29,0,37.34,0.01,0,1.4
"4408",23780689,0,46.51,0,0,0.84,0,36.41,0.01,0,1.42
"4409",23780691,0,30.51,0,0,0,0,33.36,0,0,0.93
"4410",23780693,0,57.23,0,0,0.86,0,31.6,0,0,0.95
"4411",23780695,15.93,45.72,0,0,5.44,0.68,84.87,0.01,0,12.09
"4412",23780697,6.76,80.13,0,0,7.8,0.62,85.29,0.01,0,11.74
"4413",23780699,7.35,92.65,0,0,0,0.56,85.34,0.01,0,11.77
"4414",23780701,3.53,85.36,0,0,11.11,0.57,85.55,0.01,0,11.53
"4415",23780703,3.08,67.28,0,0,29.53,0.55,85.49,0.01,0,11.58
"4416",23780705,14.38,79.74,0,0,5.88,0.52,86.18,0.01,0,10.82
"4417",23780707,5.89,87.2,0,0,6.91,0.52,86.24,0.01,0,10.75
"4418",23780709,3.56,76.39,0,0,20.05,0.51,86.21,0.01,0,10.72
"4419",23780711,0,100,0,0,0,0.5,86.11,0.01,0,10.76
"4420",23780713,6.91,86.75,0,0,6.34,0.58,86.1,0.02,0,10.17
"4421",23780715,5.18,85.92,0,0,8.9,0.56,86.01,0.02,0,10.2
"4422",23780717,3.49,88.19,0,0,7.93,0.54,85.97,0.02,0,10.21
"4423",23780719,4.3,90.23,0,0,5.47,0.5,85.45,0.02,0,10.57
"4424",23780721,20.69,79.31,0,0,0,0.47,85.25,0.02,0,10.59
"4425",23780723,5.56,94.44,0,0,0,0.46,85.25,0.02,0,10.58
"4426",23780725,6.36,91.8,0,0,1.84,0.48,85.09,0.02,0,10.54
"4427",23780727,0,99.75,0,0,0.25,0.42,84.84,0.02,0,10.68
"4428",23780729,2.75,81.51,0,0,15.29,0.42,85.2,0.02,0,10.05
"4429",23780731,3.37,76.95,0,0,19.68,0.48,84.88,0.03,0,9.41
"4430",23780733,0,98.07,0,0,1.84,0,84.14,0.01,0,11.7
"4431",23780735,0,86.14,0,0,13.87,0,82.42,0.02,0,12.16
"4432",23780737,0,77.2,0,0,22.8,0,82.9,0.02,0,11.31
"4433",23780739,0,81.42,0,0,18.59,0,82.11,0,0,11.29
"4434",23780741,0,88.58,0,0,11.42,0,80.81,0,0,11.8
"4435",23780743,0,99.03,0,0,0.97,0,79.73,0,0,12.18
"4436",23780745,0,83.77,0,0,14.94,0,76.49,0,0,13.97
"4437",23780747,0,84.8,0,0,8.04,0,73.69,0,0,12.84
"4438",23780749,0,44.27,0,0,23.72,0,44.38,0,0,25.82
"4439",23780751,5.48,92.81,0,0,1.71,0.84,85.58,0.05,0,7.46
"4440",23780753,3.97,84.45,0,0,11.28,0.82,85.61,0.05,0,7.29
"4441",23780755,0.53,99.47,0,0,0,0.73,86.11,0.05,0,6.59
"4442",23780757,2.36,92.54,0,0,5.1,0.72,86.61,0.05,0,5.92
"4443",23780759,2.48,87.32,0,0,10.2,0.61,86.59,0.05,0,5.62
"4444",23780761,1.2,87,0,0,11.79,0.45,86.81,0.06,0,4.96
"4445",23780763,4.13,74.44,0,0,21.43,0.43,86.57,0.06,0,4.79
"4446",23780765,5.61,79.52,0,0,14.51,0.35,86.82,0.06,0,4.44
"4447",23780767,0,96.15,0,0,3.53,0.03,87.27,0.07,0,3.83
"4448",23780769,0,100,0,0,0,0,86.3,0.07,0,4.05
"4449",23780771,0,98.88,0,0,0.94,0,84.96,0.08,0,4.44
"4450",23780773,0,100,0,0,0,0,82.8,0.09,0,4.96
"4451",23780775,0,100,0,0,0,0,82.27,0.1,0,5.04
"4452",23780777,0,96.1,0.26,0,2.95,0,87.68,0.23,0,4.62
"4453",23780779,0,80.03,0.32,0,8.05,0,83.05,0.26,0,6.36
"4454",23780781,3.31,88.98,0,0,7.72,0.13,86.1,0,0,13.62
"4455",23780783,0,96.37,0,0,3.63,0.02,84.83,0,0,15.04
"4456",23780785,0,86.67,0,0,13.32,0.02,83.85,0,0,16
"4457",23780787,0,89.1,0,0,10.9,0.03,81.18,0,0,18.59
"4458",23780789,0.04,78.59,0,0,21.05,0.04,78.59,0,0,21.05
"4459",23780791,16.24,69.11,0,0,3.66,0.17,83.82,0,0,15.75
"4460",23780793,0,96.34,0,0,2.73,0.1,83.89,0,0,15.81
"4461",23780795,0,91.43,0,0,8.57,0.11,83.34,0,0,16.41
"4462",23780797,0,79.27,0,0,20.73,0.18,82.16,0,0,17.5
"4463",23780799,0,91.52,0,0,8.48,0.23,82.17,0,0,17.39
"4464",23780801,0,84,0,0,16,0.29,81.46,0,0,18
"4465",23780803,0.66,78.85,0,0,20.08,0.66,78.85,0,0,20.08
"4466",23780805,10.31,47.76,0,8.32,22.49,0.4,82.4,0.1,0.29,13.26
"4467",23780807,5.92,83.47,0,0.29,8.08,0.07,83.56,0.1,0.02,12.95
"4468",23780809,0,66.63,0,0,27.33,0.02,83.55,0.11,0.02,12.99
"4469",23780811,0,70.08,0,0,27.17,0.02,83.84,0.11,0.02,12.71
"4470",23780813,0,68.53,0,0,23.78,0.02,83.85,0.11,0.02,12.68
"4471",23780815,0,56.41,0,0,12.82,0.02,84.72,0.11,0.02,12.01
"4472",23780817,0.04,81.76,0.04,0,12.58,0.02,84.65,0.11,0.02,12.05
"4473",23780819,0,84.2,0,0,10.73,0.02,85.55,0.12,0.02,11.4
"4474",23780821,0,76.58,0,0,19.41,0.02,85.74,0.12,0.02,11.39
"4475",23780823,0,95.73,0,0,4.27,0.02,86.46,0.12,0.02,11.08
"4476",23780825,0,60.09,8.35,0,27.25,0.02,86.63,0.13,0.02,10.91
"4477",23780827,0,77.84,4.56,0,13.79,0.02,86.79,0.07,0.02,10.81
"4478",23780829,0,37.79,0,0,25,0.02,87.16,0,0.02,10.63
"4479",23780831,0,45.74,0,0,35.37,0.02,87.19,0,0.02,10.62
"4480",23780833,0,68.92,0,0,22.97,0.02,87.26,0,0.02,10.58
"4481",23780835,0,61.23,0,0,38.78,0.02,89,0,0.03,8.98
"4482",23780837,0,64.95,0,0,17.29,0.02,89.5,0,0.03,8.83
"4483",23780839,0.1,64.08,0,0.83,21.28,0.02,89.52,0,0.03,8.82
"4484",23780841,0,39.82,0,0,21.3,0.02,90.35,0,0,8.42
"4485",23780843,0,79.61,0,0,9.37,0.03,90.98,0,0,7.94
"4486",23780845,0,0,0,0,55,0.03,91.09,0,0,7.93
"4487",23780847,0,66.28,0,0,23.73,0.03,91.23,0,0,7.8
"4488",23780849,0,85.59,0,0,13.68,0.03,92.43,0,0,6.97
"4489",23780851,0,95.72,0,0,4.14,0.03,93.81,0,0,6.01
"4490",23780853,0,100,0,0,0,0.03,93.69,0,0,6.13
"4491",23780855,0,96.93,0,0,3.07,0.03,94.31,0,0,5.5
"4492",23780857,0.37,94.6,0,0,5.04,0.03,94.31,0,0,5.5
"4493",23780859,1.92,75.38,0,0,22.71,0.03,94.4,0,0,5.43
"4494",23780861,0,77.93,0,0,22.07,0,95.22,0,0,4.59
"4495",23780863,0,93.24,0,0,6.22,0,95.93,0,0,3.91
"4496",23780865,0,98.41,0,0,1.59,0,95.99,0,0,3.86
"4497",23780867,0,98.85,0,0,1.15,0,96.06,0,0,3.81
"4498",23780869,0,99.31,0,0,0.69,0,96.56,0,0,3.27
"4499",23780871,0,99.78,0,0,0.22,0,96.2,0,0,3.59
"4500",23780873,0,99.05,0,0,0.95,0,96.56,0,0,3.25
"4501",23780875,0,99.89,0,0,0.11,0,99.89,0,0,0.11
"4502",23780877,0,0,70.18,13.3,4.13,1.84,72.01,0.73,6.75,11.58
"4503",23780879,0,0,60.23,28.78,0,1.84,72.02,0.73,6.75,11.58
"4504",23780881,0,0,48.23,28.32,0,1.84,72.05,0.69,6.73,11.58
"4505",23780883,3.87,0.18,20.73,69.58,0.07,1.84,72.15,0.68,6.63,11.6
"4506",23780885,12.09,0,15.37,60.64,0.56,1.68,73.54,0.64,5.14,11.82
"4507",23780887,2.81,1.63,73.91,10.97,4.7,1.66,74.09,0.52,4.62,11.9
"4508",23780889,2.33,0.68,74.54,14.42,5.42,1.66,74.16,0.46,4.62,11.9
"4509",23780891,0.47,0,49.92,41.65,4.84,1.66,74.19,0.43,4.61,11.91
"4510",23780893,0,12.16,48.65,25.68,13.51,1.66,74.22,0.41,4.6,11.91
"4511",23780895,8.16,0.85,9.02,77.02,1.08,1.66,74.22,0.41,4.6,11.91
"4512",23780897,0,8.33,33.33,41.67,0,1.62,74.71,0.35,4.11,11.98
"4513",23780899,0,62.9,0,0,20.76,0,62.9,0,0,20.76
"4514",23780901,7.83,68.35,0,0,23.82,0.2,87.34,0,0,11.89
"4515",23780903,0,92.34,0,0,7.59,0,86.92,0,0,12.45
"4516",23780905,0,99.69,0,0,0.31,0,84.46,0,0,14.48
"4517",23780907,0,100,0,0,0,0,81.6,0,0,16.51
"4518",23780909,0,83.95,0,0,15.9,0,83.95,0,0,15.9
"4519",23780911,0,72.57,0,0,27.09,0,72.57,0,0,27.09
"4520",23780913,0,0,50,50,0,7.76,13.48,2.17,70.9,2.64
"4521",23780915,0,0,13.05,80.43,0,7.76,13.48,2.16,70.9,2.64
"4522",23780917,1.43,0,4.1,94.29,0.18,7.79,13.53,2.13,70.87,2.65
"4523",23780919,4.62,0.6,19.99,73.42,0.54,7.92,13.82,2.09,70.39,2.7
"4524",23780921,13.16,0,0.85,85.98,0,8.17,14.77,0.79,70.17,2.85
"4525",23780923,78.98,0,0,21.01,0,7.37,17.04,0.78,67.73,3.29
"4526",23780925,12.51,5.7,2.27,78.96,0.56,6.94,17.15,0.78,68.03,3.31
"4527",23780927,10.94,7.52,1.94,78.76,0.83,6.21,18.64,0.6,66.61,3.67
"4528",23780929,4.63,7.4,4.39,83.56,0,5.1,19.19,0.55,65.67,4.41
"4529",23780931,5.57,4.98,0.59,84.46,3.12,5.36,17.89,0.27,67.6,4.58
"4530",23780933,5.19,28.97,0,53.14,5.83,5.19,28.97,0,53.14,5.83
"4531",23780935,0,89.05,0,0,0.26,0.01,87.4,0,0,10.71
"4532",23780937,0,94.25,0,0,5.75,0.02,88.46,0,0,11.39
"4533",23780939,0,96.69,0,0,3.31,0.02,87.51,0,0,12.35
"4534",23780941,0.03,88.36,0,0,11.52,0.03,88.36,0,0,11.52
"4535",23780943,0,97.96,0,0,1.36,0,76.35,0,0,21.46
"4536",23780945,0,77.56,0,0,16.57,0,75.86,0,0,21.91
"4537",23780947,0,70.77,0,0,29.14,0,70.77,0,0,29.14
"4538",23780949,0,90.7,0,0,9.15,0,90.7,0,0,9.15
"4539",23780951,1.76,92.59,0,0,5.66,0.22,94.98,0,0,3.43
"4540",23780953,0,95.93,0,0,4.07,0,94.47,0,0,3.64
"4541",23780955,0,90.65,0,0,4.68,0,90.65,0,0,4.68
"4542",23780957,14.37,60.34,0,0,5.17,0.05,80.07,0.05,0,7.66
"4543",23780959,0,85.77,0,0,7.46,0,80.34,0.06,0,5.98
"4544",23780961,0,87.36,0,0,9.14,0,77.82,0.07,0,5.33
"4545",23780963,0,89.19,0,0,10.81,0,68.76,0.12,0,6.04
"4546",23780965,0,100,0,0,0,0,74.71,0.15,0,5.11
"4547",23780967,0,99.33,0,0,0.67,0,69.64,0.17,0,6.13
"4548",23780969,0,97.18,0,0,2.82,0,68.97,0.19,0,6.26
"4549",23780971,0,86.46,0,0,11.96,0,69.04,0,0,2.5
"4550",23780973,0,74.72,0,0,0.43,0,57.58,0,0,1.1
"4551",23780975,0,37.75,0,0,1.89,0,48.14,0,0,1.43
"4552",23780977,0,13.28,0,0,0.26,0,45.8,0,0,1.87
"4553",23780979,0,45.02,0,0,0,0,57.96,0,0,0.18
"4554",23780981,0,76.38,0,0,0.43,0,76.38,0,0,0.43
"4555",23780983,0.08,45.9,0,0,48.52,0.08,45.9,0,0,48.52
"4556",23780985,0,0,0,0,0,3.71,64.16,0,8.05,18.39
"4557",23780987,14.38,43.76,0,26.38,10.49,3.71,64.18,0,8.05,18.4
"4558",23780989,12.26,15.09,0,61.32,0,2.44,71.15,0,1.92,19.56
"4559",23780991,16.92,41.91,0,8.42,16.23,2.13,73.31,0,1.01,19.39
"4560",23780993,0,68.71,0,0,24.09,0.15,73.2,0,0,23.62
"4561",23780995,0.23,72.62,0,0,24.26,0.23,72.62,0,0,24.26
"4562",23780997,2.35,74.85,0,0,22.55,2.35,74.85,0,0,22.55
"4563",23780999,0,97.94,0,0,1.54,0,63.48,0.06,0,0.3
"4564",23781001,0,99.41,0,0,0,0,48.63,0.1,0,0.08
"4565",23781003,0,69.88,0.23,0,0.18,0,61.94,0.2,0,0.16
"4566",23781005,0,0,0,0,0,0,0,0,0,0
"4567",23781007,0,0,0,100,0,5.84,16.95,0.08,55.95,9.82
"4568",23781009,6.69,16.35,0.14,61.4,8.67,5.84,16.96,0.08,55.93,9.82
"4569",23781011,5.62,20.19,0,39.75,14.95,5.62,20.19,0,39.75,14.95
"4570",23781013,0,87.24,0,0,12.76,0,87.24,0,0,12.76
"4571",23781015,0,98.35,0,0,1.65,0,98.35,0,0,1.65
"4572",23781017,0,98.94,0,0,1.06,0,93.92,0,0,6.08
"4573",23781019,0,93.62,0,0,5.67,0,93.62,0,0,5.67
"4574",23781021,0,95.88,0,0,4.12,0,95.88,0,0,4.12
"4575",23781023,0,86.91,0,0,12.44,0,86.91,0,0,12.44
"4576",23781025,0,79.94,0,0,19.63,0,79.94,0,0,19.63
"4577",23781027,0,82.43,0,0,10.81,0,84.7,0,0,14.62
"4578",23781029,0,95.6,0,0,4.21,0,95.6,0,0,4.21
"4579",23781031,0,80.18,0,0,19.82,0,80.18,0,0,19.82
"4580",23781033,0,91.65,0,0,7.59,0,91.65,0,0,7.59
"4581",23781035,0,75.48,0,0,17.7,0,75.48,0,0,17.7
"4582",23781037,0,98.78,0,0,1.22,0,95.55,0,0,4.22
"4583",23781039,0,96.18,0,0,3.82,0.04,92.25,0,0,7.67
"4584",23781041,0,69.29,0,0,25.78,0,69.29,0,0,25.78
"4585",23781043,3.06,12.23,0,70.38,3.01,3.06,12.23,0,70.38,3.01
"4586",23781045,0,77.85,0,0,21.18,0,77.85,0,0,21.18
"4587",23781047,0,87.62,0,0,11.12,0,87.62,0,0,11.12
"4588",23781049,0,100,0,0,0,0,92.31,0,0,7.53
"4589",23781051,13.92,0,0,86.08,0,13.92,0,0,86.08,0
"4590",23781053,0,60.56,0,0,36.54,0,60.56,0,0,36.54
"4591",23781055,0,98.98,0,0,1.02,0,98.98,0,0,1.02
"4592",23781057,14.77,3.37,37.2,31.4,1.12,1.34,77.25,0.13,1.73,12.3
"4593",23781063,0,64.08,0,0,34,0,64.08,0,0,34
"4594",23781065,0,25.58,0,0,51.87,0,25.58,0,0,51.87
"4595",23781067,2.48,4.56,29.46,59.75,0,1.34,77.28,0.12,1.72,12.31
"4596",23781069,0,94.93,0,0,5.07,0,94.93,0,0,5.07
"4597",23781071,0,83.57,0,0,14.24,0,83.57,0,0,14.24
"4598",23781073,0,89.59,0,0,9.26,0,89.59,0,0,9.26
"4599",23781075,0,98.76,0,0,1.24,0,96.28,0,0,3.5
"4600",23781077,3.35,32.39,0,35.72,17.05,3.35,32.39,0,35.72,17.05
"4601",23781079,4.15,59.28,0,5.84,21.19,4.15,59.28,0,5.84,21.19
"4602",23781081,0,81.81,0,0,17.61,0,81.81,0,0,17.61
"4603",23781083,11.5,19.92,0.29,67.4,0,11.5,19.92,0.29,67.4,0
"4604",23781085,4.09,30.83,0,48.21,5.7,4.09,30.83,0,48.21,5.7
"4605",23781087,0.13,93,0,0,6.8,0.05,93.58,0,0,6.3
"4606",23781089,0,72.86,0,0,13.66,0,72.86,0,0,13.66
"4607",23781091,0,94.76,0,0,5.24,0,94.76,0,0,5.24
"4608",23781093,0,63.04,0,0,30.2,0,63.04,0,0,30.2
"4609",23781095,8.91,0.43,0.61,89.8,0.17,8.95,0.43,0.61,89.77,0.17
"4610",23781097,0,77.85,0,0,16.27,0,84.06,0,0,13.19
"4611",23781099,0,91.89,0,0,6.9,0,91.89,0,0,6.9
"4612",23781101,0,0,55.56,44.44,0,4.78,5.27,0.76,87.19,0.02
"4613",23781103,0,65.54,0,0,15.53,0,65.54,0,0,15.53
"4614",23781105,2.03,8.67,3.76,85.55,0,8.75,0.67,0.7,89.65,0.16
"4615",23781107,0,53.94,0,0,40.7,0,44.78,0,0,43.15
"4616",23781109,0,83.11,0,0,16.88,0,83.11,0,0,16.88
"4617",23781111,0,99.59,0,0,0.41,0,99.59,0,0,0.41
"4618",23781113,0,93.19,0,0,6.39,0,93.19,0,0,6.39
"4619",23781115,0,0,0,100,0,8.61,0.66,0.69,89.79,0.16
"4620",23781117,0,93.29,0,0,6.71,0,93.25,0,0,6.68
"4621",23781119,6.71,8.04,0.59,84.32,0.35,6.71,8.04,0.59,84.32,0.35
"4622",23781121,1.81,0,37.02,40.86,4.51,13.04,6.12,0.67,77.46,1.57
"4623",23781123,0,93.93,0,0,6.07,0,94.79,0,0,4.88
"4624",23781125,8.85,9.18,15.9,51.8,1.64,12.65,0.21,3.69,82.96,0.24
"4625",23781127,5.45,0,1.21,93.33,0,8.18,1.91,0.69,88.97,0.19
"4626",23781129,12.65,0.21,3.69,82.96,0.24,12.65,0.21,3.69,82.96,0.24
"4627",23781131,0,83.61,0,0,16.39,0,83.61,0,0,16.39
"4628",23781133,8.16,0.85,9.02,77.02,1.08,1.93,5.37,7.84,80.34,4.51
"4629",23781135,0,96.68,0,0,2.8,0,96.68,0,0,2.8
"4630",23781137,0,69.29,0,0,28.28,0,69.29,0,0,28.28
"4631",23781139,0.08,87.45,0,0,12.3,0.08,87.45,0,0,12.3
"4632",23781141,10.1,3.01,0.74,83.73,0.35,9.07,2.42,0.72,86.53,0.26
"4633",23781143,11.88,32.22,2.36,21.46,3.41,11.88,32.22,2.36,21.46,3.41
"4634",23781145,0,98.48,0,0,1.52,0,94.76,0,0,4.69
"4635",23781147,6.16,0,6.45,85.79,1.3,6.16,0,6.45,85.79,1.3
"4636",23781149,0,95.2,0,0,4.14,0,95.2,0,0,4.14
"4637",23781151,0,93.7,0,0,5.93,0,93.7,0,0,5.93
"4638",23781153,2.55,1.97,0.6,91.99,1.71,2.55,1.97,0.6,91.99,1.71
"4639",23781157,0,41.03,0,0,55.75,0,41.03,0,0,55.75
"4640",23781161,0,81.52,0,0,8.45,0,81.52,0,0,8.45
"4641",23781163,0,99.15,0,0,0.85,0,99.15,0,0,0.85
"4642",23781165,0,96.05,0,0,3.95,0,96.05,0,0,3.95
"4643",23781169,0,70.57,0,0,20.77,0,70.57,0,0,20.77
"4644",23781171,0.23,3.84,0,95.69,0,4.11,3.64,0,88.85,1.16
"4645",23781173,0,0,0,77.27,0,5.54,1.24,0,90.99,0
"4646",23781175,0,71.84,0,0,27.74,0,71.84,0,0,27.74
"4647",23781177,0,97.57,0,0,2.43,0,95.12,0,0,3.66
"4648",23781179,16.71,5.04,1.03,72.38,2.51,10.1,4.1,0.82,81.88,0.67
"4649",23781181,0,92.26,0,0,5.08,0,92.26,0,0,5.08
"4650",23781183,44.17,0,6.75,42.34,6.75,10.27,4.08,0.85,81.68,0.7
"4651",23781187,13.11,6.27,0.6,77.4,1.44,13.11,6.27,0.6,77.4,1.44
"4652",23781189,0,92.83,0,0,6.99,0,92.83,0,0,6.99
"4653",23781191,5.56,1.25,0,91.05,0,5.56,1.25,0,91.05,0
"4654",23781193,0.22,89.91,0,0,9.6,0.22,89.91,0,0,9.6
"4655",23781195,0,89.47,0,0,10.53,0,89.47,0,0,10.53
"4656",23781197,0,92.44,0,0,7.57,0,92.44,0,0,7.57
"4657",23781199,0,71.51,0,0,28.49,0,71.51,0,0,28.49
"4658",23781201,0,83.68,0,0,16.32,0,83.68,0,0,16.32
"4659",23781203,0,99.32,0,0,0.68,0,99.32,0,0,0.68
"4660",23781205,2.82,7.47,0,83.55,3.35,2.82,7.47,0,83.55,3.35
"4661",23781207,0,94.91,0,0,5.09,0,94.91,0,0,5.09
"4662",23781209,0,66.39,0,0,20.22,0,66.39,0,0,20.22
"4663",23781211,0,57.73,0,0,27.3,0,57.73,0,0,27.3
"4664",23781213,8.63,0.32,2.66,87.64,0.66,10.1,3.7,1.03,82.29,0.7
"4665",23781215,0,89.7,0,0,10.3,0,89.7,0,0,10.3
"4666",23781217,7.14,0,21.43,60.71,0,10.11,3.7,1.05,82.27,0.7
"4667",23781221,0,86.92,0,0,13.08,0,75.34,0,0,24.66
"4668",23781223,0,77.96,0,0,22.04,0,77.96,0,0,22.04
"4669",23781225,4.53,0.38,16.42,72.81,1.28,4.53,0.38,16.42,72.81,1.28
"4670",23781227,0.39,98.05,0,0,1.22,0.39,98.05,0,0,1.22
"4671",23781229,2.99,70.72,0,0,26.29,2.99,70.72,0,0,26.29
"4672",23781231,0,0,2.31,92.42,0,4.38,0.36,15.95,73.46,1.24
"4673",23781233,2.05,70.39,0,0,25.51,2.05,70.39,0,0,25.51
"4674",23781235,0,97.3,0,0,0.8,0,97.3,0,0,0.8
"4675",23781237,0,0,8.37,84.24,0,4.32,0.36,15.85,73.61,1.22
"4676",23781239,0.25,81.52,0,0,18.17,0.25,81.52,0,0,18.17
"4677",23781241,0,60.9,0,0,39.11,0,60.9,0,0,39.11
"4678",23781243,0.46,89.98,0,0,9.53,0.46,89.98,0,0,9.53
"4679",23781245,0,93.67,0,0,3.8,0,97.95,0,0,0.73
"4680",23781247,0.67,78.42,0,4.13,13.58,0.67,78.42,0,4.13,13.58
"4681",23781249,0.61,93.69,0,0,5.7,0.09,97.16,0,0,2.74
"4682",23781251,0,78.13,0,0,21.87,0.16,87.68,0,0,11.95
"4683",23781255,0,0,0,0,0,13.34,3.34,0.32,82.71,0.2
"4684",23781257,0.27,74.82,0,0,24.42,0.27,74.82,0,0,24.42
"4685",23781259,0.37,70.21,0,0,29.16,0.37,70.21,0,0,29.16
"4686",23781261,0,100,0,0,0,0,100,0,0,0
"4687",23781263,3.05,64.18,0,0,31.3,0.41,62.97,0,0,24.25
"4688",23781265,1.36,61.44,0,0,37.2,1.36,61.44,0,0,37.2
"4689",23781267,0,80.31,0,0,19.69,0,80.31,0,0,19.69
"4690",23781269,1.43,63.78,0,0,34.79,1.43,63.78,0,0,34.79
"4691",23781271,1.24,90.57,0,0,8.12,1.24,90.57,0,0,8.12
"4692",23781273,5.3,82.55,0,0,12.15,0.37,76.42,0,0,23.21
"4693",23781275,0.99,82.89,0,0,16.12,0.99,82.89,0,0,16.12
"4694",23781277,0.41,85.58,0,0,14.02,0.41,85.58,0,0,14.02
"4695",23781279,0,98.96,0,0,0.94,0,98.96,0,0,0.94
"4696",23781281,13.34,3.34,0.32,82.75,0.2,13.34,3.34,0.32,82.75,0.2
"4697",23781283,0,82.46,0,0,17.38,0,82.46,0,0,17.38
"4698",23781285,0,31.26,0,24.03,35.92,0,74.63,0,1.4,21.97
"4699",23781287,0.39,88.02,0,0,11.36,0.39,88.02,0,0,11.36
"4700",23781289,0.16,81.84,0,0,17.7,0.16,81.84,0,0,17.7
"4701",23781291,0,94.08,0,0,3.18,0,94.08,0,0,3.18
"4702",23781293,0,76.51,0,0,23.49,0,76.51,0,0,23.49
"4703",23781295,0,100,0,0,0,0,88.07,0,0,11.73
"4704",23781297,0,100,0,0,0,0,88.42,0,0,11.45
"4705",23781299,0,70.33,0,0,29.34,0,70.33,0,0,29.34
"4706",23781301,0,100,0,0,0,0,87.72,0,0,12.04
"4707",23781303,0,77.97,0,0,21.7,0,77.97,0,0,21.7
"4708",23781305,0,49.99,0,0,49.38,0,49.99,0,0,49.38
"4709",23781307,0,87.12,0,0,12.87,0,87.12,0,0,12.87
"4710",23781309,0,0,22.41,77.59,0,6.06,0,3.9,89.63,0.16
"4711",23781311,6.19,0,3.48,89.9,0.16,6.19,0,3.48,89.9,0.16
"4712",23781313,0,99.69,0,0,0.31,0,87.4,0,0,12.6
"4713",23781315,0,78.12,0,0,21.65,0,78.12,0,0,21.65
"4714",23781317,0.18,85.46,0,0,14.27,0.19,80.96,0,0,18.78
"4715",23781319,100,0,0,0,0,0.2,80.96,0,0,18.78
"4716",23781321,0,83.62,0,0,16.38,0,83.62,0,0,16.38
"4717",23781323,0,97.4,0,0,1.63,0,97.4,0,0,1.63
"4718",23781325,0,75.73,0,0,18.68,0,75.73,0,0,18.68
"4719",23781327,0,97.57,0,0,2.43,0,97.57,0,0,2.43
"4720",23781329,0,89.94,0,0,10.06,0,89.94,0,0,10.06
"4721",23781331,0.35,76.39,0,5.42,11.41,0.02,88.23,0,0.31,8.69
"4722",23781337,0,85.83,0,0,14.17,0,85.83,0,0,14.17
"4723",23781339,0,88.38,0,0,11.16,0,70.9,0,0,28.62
"4724",23781341,0,79.53,0,0,20.4,0,83.7,0,0,16.24
"4725",23781343,0,96.32,0,0,3.68,0.03,86.92,0,0,12.91
"4726",23781345,0,99.15,0,0,0.3,0,76.56,0,0,5.76
"4727",23781347,0,77.7,0,0,16.39,0,77.7,0,0,16.39
"4728",23781349,0,94.28,0,0,5.72,0,94.28,0,0,5.72
"4729",23781351,0,66.41,0,0,33.59,0,66.41,0,0,33.59
"4730",23781355,0,93.11,0,0,3.97,0,93.11,0,0,3.97
"4731",23781357,0,83,0,0,16.6,0,83,0,0,16.6
"4732",23781359,0,94.91,0,0,2.81,0,69.25,0,0,7.23
"4733",23781361,0,96.34,0,0,2.62,0,95.67,0,0,2.9
"4734",23781363,0,84.83,0,0,15.17,0,84.83,0,0,15.17
"4735",23781365,0,86.49,1.66,0,0,0,95.75,0.27,0,1.62
"4736",23781367,0,95.14,0,0,4.86,0,95.65,0.23,0,2.14
"4737",23781369,0,74.43,0,0,3.48,0,85.47,0,0,2.44
"4738",23781371,0,92.17,0,0,7.83,0.04,86.02,0,0,13.86
"4739",23781373,0,94.18,0,0,5.82,0,94.18,0,0,5.82
"4740",23781375,0,81.61,0,0,18.39,0,90.82,0.15,0,7.73
"4741",23781377,0,83.72,0,0,16.28,0,83.72,0,0,16.28
"4742",23781379,0,45.16,0,0,0,0,86.31,0.2,0,4.53
"4743",23781381,0,100,0,0,0,0,85.04,0,0,4.78
"4744",23781383,0,75.69,0,0,11.66,0,77.18,0,0,12.79
"4745",23781385,0,79.91,1.31,0,12.23,0,87.84,0.41,0,6.78
"4746",23781387,0,78.26,0,0,0,0,78.26,0,0,0
"4747",23781389,0,88.91,0,0,10.68,0,88.91,0,0,10.68
"4748",23781391,0.39,92.14,0,0,7.47,0.39,92.14,0,0,7.47
"4749",23781393,1.85,78.69,0,0,19.24,1.85,78.69,0,0,19.24
"4750",23781395,0,97.55,0,0,1.94,0,97.55,0,0,1.94
"4751",23781397,75,0,0,0,0,1.97,78.56,0,0,19.21
"4752",23781399,0,88.26,0,0,11.74,0,89.41,0,0,8.71
"4753",23781401,0,85.67,0,0,7.18,0,85.67,0,0,7.18
"4754",23781403,4.02,86.98,0,0,8.99,4.02,86.98,0,0,8.99
"4755",23781405,0,89.62,0,0,0.62,0,89.62,0,0,0.62
"4756",23781407,0,87.04,0,0,6.48,0,87.04,0,0,6.48
"4757",23781409,0,99.09,0,0,0.71,0,98.18,0,0,0.68
"4758",23781411,0,98.02,0,0,1.25,0,98.02,0,0,1.25
"4759",23781413,0,88.88,0.29,0,6.07,0,88.88,0.29,0,6.07
"4760",23781415,0,90.97,0,0,7.59,0,84.75,0,0,8.57
"4761",23781417,0,90.82,0,0,8.93,0,90.82,0,0,8.93
"4762",23781419,0,75.39,0,0,10.04,0,75.39,0,0,10.04
