"comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t","basin","tot_loc","tot_acm"
23099470,1.57178841309824,0,0,0,98.4282115869018,2.08834324769017,0.0253132514871535,0,5.32843943804582,92.5579040627769,"Yakima",100,100
23099472,2.56,0,0,0,97.44,2.10981189628876,0.025419420437214,0,5.4270462633452,92.4377224199288,"Yakima",100,100
23099474,2.17217217217217,0,0,0,97.8278278278278,2.11249681852889,0.0254517688979384,0,5.47213031305676,92.3899210995164,"Yakima",100,100
23099484,8.62774265526218,0,0,0.247923639519028,91.1243337052188,2.37562189054726,0.0248756218905473,0,7.12686567164179,90.4726368159204,"Yakima",100,100
23099494,0,0,0,0,100,0.61262959472196,0.0353440150801131,0,10.2733270499529,89.0786993402451,"Yakima",100,100
23099496,0,0,0,0,100,0.572429906542056,0.0350467289719626,0,9.10046728971963,90.2920560747664,"Yakima",100,100
23099502,4.70996024059537,0,0,49.1589356713223,46.1311040880824,0.181818181818182,0.0320855614973262,0,1.78609625668449,98,"Yakima",100,100
23099504,1.87521309239686,0,0,31.4353903852711,66.6893965223321,0.0743415463041631,0.0424808836023789,0,0.424808836023789,99.4583687340697,"Yakima",100,100
23099506,1.13170003730879,0,0,0,98.8682999626912,0.0211104074308634,0.0422208148617268,0,0,99.9366687777074,"Yakima",100,100
23099510,0,0,0,0,100,0,0.04212299915754,0,0,99.9578770008425,"Yakima",100,100
23099512,0,0,0,0,100,0,0.0417405822811228,0,0,99.9582594177189,"Yakima",100,100
23099514,0,0,0,0,100,0,0.0417362270450751,0,0,99.9582637729549,"Yakima",100,100
23099516,0,0,0,0,100,0,0.0417710944026734,0,0,99.9582289055973,"Yakima",100,100
23099518,0,0,0,0,100,0,0.0510881781955655,0,0,99.9489118218044,"Yakima",100,100
23099520,0,0,0,0,100,0,0.0613434209181065,0,0,99.9386565790819,"Yakima",100,100
23099522,0,0,0,0,100,0,0.061381074168798,0,0,99.9386189258312,"Yakima",100,100
23099524,0,0.619100781487872,0,0,99.3808992185121,0,0.0717139637332241,0,0,99.9282860362668,"Yakima",100,100
23099526,0,0,0,0,100,0,0.0615384615384615,0,0,99.9384615384615,"Yakima",100,100
23099528,0,0,0,0,100,0,0.0616079679638567,0,0,99.9383920320361,"Yakima",100,100
23099530,0,0.10225994477963,0,0,99.8977400552204,0,0.0718612052150703,0,0,99.9281387947849,"Yakima",100,100
23099532,0,0,0,0,100,0,0.0719646345224633,0,0,99.9280353654776,"Yakima",100,100
23099534,0,0,0,0,100,0,0.0720312821568224,0,0,99.9279687178432,"Yakima",100,100
23099536,0,0,0,0,100,0,0.0823723228995058,0,0,99.9176276771005,"Yakima",100,100
23099538,0,0,0,0,100,0,0.0916217041636974,0,0,99.9083782958363,"Yakima",100,100
23099540,0,0,0,0,100,0,0.131966297837783,0,0,99.8680337021622,"Yakima",100,100
23099542,0,0.0720980533525595,0,0,99.9279019466474,0,0.142290883219839,0,0,99.8577091167802,"Yakima",100,100
23099544,0,0,0,0,100,0,0.131180625630676,0,0,99.8688193743693,"Yakima",100,100
23099546,0,0.242081904377648,0,0,99.7579180956224,0,0.242081904377648,0,0,99.7579180956224,"Yakima",100,100
